Placa,Codigo Verificacion Placa,Fecha_Emision,Año.del.Permiso,Pago Fisico,Cuotas Permiso,Codigo_SII,Comuna_Propietario,Comuna_Permiso,Valor_Contado,Total_a_Pagar,Año_Fabricacion,TipoVehiculo,Marca,Modelo,Cilindrada,Equipamiento,Combustible,Transmision,Tonelaje,Comuna_Anterior,Comuna_Anterior,Comuna_rev,Fecha_Vencimiento
FFDG-11,7,2021-03-31,2021,Pagado internet,Total,SU176019012,CHILE CHICO,RIO IBAÑEZ,25489,25489,2012,AUTOMOVIL,NISSAN,QASHQAI,2000,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
JWGD-93,K,2021-03-31,2021,Pago Fisico,Total,SU111006912,CHILE CHICO,RIO IBAÑEZ,39316,39316,2012,STATION WAGON,HYUNDAI,SANTA FE,2200,Full,Dies,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
HLPX-76,8,2021-04-07,2021,Pagado internet,Total,SD013020616,COLINA,RIO IBAÑEZ,427088,434361,2016,AUTOMOVIL,AUDI,A6,1800,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
HRPX-67,7,2021-03-11,2021,Pagado internet,1ra. Cuota,VN106000816,COLINA,RIO IBAÑEZ,474804,237402,2016,STATION WAGON,HONDA,PILOT TOURING 3.5 AUT. 4X4,3500,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-08-31 00:00:00.000
HRPX-67,7,2021-08-26,2021,Pagado internet,2da. Cuota,VN106000816,COLINA,RIO IBAÑEZ,474804,240488,2016,STATION WAGON,HONDA,PILOT TOURING 3.5 AUT. 4X4,3500,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
FYTK-67,5,2021-03-31,2021,Pagado internet,Total,CO077002714,CONCEPCION,RIO IBAÑEZ,48792,48792,2014,FURGON,FIAT,FIORINO,1300,Equi,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
CHTV-57,2,2021-09-06,2021,Pagado internet,Total,NULL,COYHAIQUE,RIO IBAÑEZ,78242,78242,2010,TRACTOCAMION,FREIGHTLIN,CL 112,12800,NORM,DIES,MEC,30000,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-09-30 00:00:00.000
JK-8306,6,2021-09-06,2021,Pagado internet,Total,NULL,COYHAIQUE,RIO IBAÑEZ,78242,78242,2012,SEMI REMOLQUE,RANDON,SR TQ TL 03 33,NULL,NULL,NULL,NULL,30000,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-09-30 00:00:00.000
JL-5738,8,2021-09-06,2021,Pagado internet,Total,NULL,COYHAIQUE,RIO IBAÑEZ,78242,78242,2012,SEMI REMOLQUE,HEIL,SR ESTANQUE,NULL,NULL,NULL,NULL,25000,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-09-30 00:00:00.000
HRKC-35,0,2021-04-05,2021,Pagado internet,Total,CT166006616,COYHAIQUE,RIO IBAÑEZ,72607,73843,2016,CAMIONETA,MITSUBISHI,L200 KATANA CRT,2400,Full,Dies,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
JRJJ-49,0,2021-03-31,2021,Pagado internet,Total,HB050017417,COYHAIQUE,RIO IBAÑEZ,25489,25489,2017,AUTOMOVIL,CHEVROLET,SPARK GT 1.2 MT LT AC,1200,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
LSBV-58,6,2021-03-31,2021,Pagado internet,Total,CT160012020,COYHAIQUE,RIO IBAÑEZ,162731,162732,2020,CAMIONETA,MAZDA,BT50,2200,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
DFVZ-84,5,2021-03-31,2021,Pagado internet,Total,SD050026711,COYHAIQUE,RIO IBAÑEZ,25675,25489,2011,AUTOMOVIL,CHEVROLET,SAIL,1400,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
